Average of Salary,Column Labels,,,,,,,,,,,,,,,,
Row Labels, Agriculture,Babysitter,Construction,Cooking,Cooking ,Electrician,Food-Delivery,Housekeeping,House-Maid,Laundary,Painter,Sanitation,Sanitation ,Security,Security ,Sweeper,Grand Total
Adavapakkam,,"? 2,050.0",,,"? 7,000.0","? 11,233.3",,,"? 3,000.0","? 2,900.0","? 6,900.0","? 4,800.0","? 4,150.0",,,,"? 6,240.9"
Angambakkam,"? 6,328.6",,"? 16,866.7","? 10,028.6","? 10,100.0","? 13,120.0","? 5,500.0","? 5,500.0","? 2,975.0","? 1,937.5","? 6,800.0","? 3,700.0",,"? 3,733.3","? 3,300.0","? 3,340.0","? 7,264.0"
Ariyaperumpakkam,"? 9,652.9","? 3,050.0","? 16,900.0",,,"? 13,100.0","? 4,033.3","? 7,000.0",,"? 2,300.0","? 6,266.7","? 3,100.0","? 2,200.0","? 4,242.9",,"? 3,833.3","? 6,237.5"
Asoor,"? 9,300.0",,"? 14,628.6","? 10,400.0",,"? 12,133.3","? 6,100.0","? 5,866.7","? 4,450.0",,,"? 4,200.0",,"? 3,100.0","? 3,200.0","? 4,300.0","? 7,458.3"
Chinnalambadi,"? 12,200.0","? 4,700.0","? 13,047.6","? 10,900.0","? 9,950.0","? 10,133.3","? 5,120.0",,"? 3,380.0","? 1,975.0","? 6,200.0","? 5,700.0","? 4,900.0","? 5,900.0",,"? 2,950.0","? 6,444.7"
Damal,"? 6,520.0",,"? 16,228.6","? 9,180.0","? 10,800.0","? 11,311.1","? 5,242.9","? 7,728.6","? 3,960.0","? 2,276.5","? 5,733.3","? 4,100.0","? 4,700.0","? 4,550.0","? 5,500.0","? 3,400.0","? 6,650.5"
Illalur,"? 6,485.7",,"? 13,973.3","? 9,700.0","? 11,300.0","? 11,885.7","? 6,020.0","? 7,900.0","? 3,800.0","? 1,442.9","? 7,000.0","? 3,900.0","? 5,600.0","? 5,037.5","? 4,700.0","? 3,333.3","? 7,493.7"
Kalpattu,"? 9,700.0","? 4,800.0","? 10,500.0",,"? 10,000.0","? 11,040.0",,"? 5,100.0","? 3,500.0","? 1,775.0","? 6,750.0",,,"? 2,700.0","? 6,200.0",,"? 7,047.6"
Karalappakkam,"? 7,284.6","? 2,400.0","? 15,436.0","? 9,000.0","? 9,000.0","? 10,142.9","? 6,000.0","? 6,866.7","? 3,883.3","? 2,116.7","? 6,725.0","? 5,766.7","? 3,633.3","? 6,300.0","? 4,150.0","? 3,866.7","? 6,783.2"
Kilakkadi,"? 10,471.4","? 2,350.0","? 15,271.4","? 7,800.0","? 7,750.0","? 11,000.0","? 3,300.0",,"? 2,100.0","? 1,800.0","? 6,433.3",,,"? 5,300.0","? 6,150.0","? 2,900.0","? 6,251.2"
Kottavakkam,"? 5,450.0",,"? 17,150.0","? 9,733.3","? 9,200.0","? 8,500.0","? 5,550.0","? 5,400.0","? 3,966.7","? 1,700.0","? 5,333.3","? 3,300.0","? 4,000.0","? 3,866.7",,"? 3,800.0","? 6,075.8"
Kottur,"? 7,800.0","? 3,500.0","? 16,569.6","? 9,980.0",,"? 10,975.0","? 4,800.0","? 6,900.0","? 3,066.7","? 2,000.0","? 6,533.3","? 5,800.0","? 2,950.0","? 3,900.0","? 5,800.0","? 3,900.0","? 7,217.7"
Melmaduramangalam,"? 9,600.0","? 3,200.0","? 14,839.4","? 8,160.0","? 11,800.0","? 11,953.8","? 4,500.0",,"? 3,316.7","? 1,966.7","? 6,300.0","? 3,850.0","? 4,500.0","? 3,475.0","? 5,600.0","? 3,687.5","? 7,449.5"
Nanjeepuram,,"? 4,000.0","? 16,300.0","? 10,600.0","? 9,000.0","? 12,533.3",,"? 6,200.0","? 3,600.0","? 2,033.3","? 7,100.0","? 4,100.0",,,,"? 4,700.0","? 7,218.2"
Narapakkam,"? 7,800.0",,"? 16,900.0","? 9,366.7",,"? 13,000.0","? 4,333.3",,"? 4,000.0","? 1,600.0","? 5,000.0","? 3,725.0",,"? 5,950.0",,"? 4,466.7","? 5,865.4"
Nathanallur,"? 7,133.3","? 2,650.0","? 13,580.0","? 8,033.3","? 10,433.3","? 10,500.0","? 6,900.0","? 4,800.0","? 3,116.7","? 1,800.0","? 5,900.0","? 4,000.0","? 5,100.0","? 4,475.0","? 5,000.0","? 4,150.0","? 6,169.0"
Pondur,"? 11,150.0","? 4,450.0","? 14,450.0","? 9,033.3","? 11,500.0","? 11,400.0","? 7,400.0","? 4,800.0","? 3,666.7","? 1,700.0","? 6,150.0","? 3,900.0","? 4,133.3","? 4,800.0","? 4,433.3","? 3,300.0","? 5,969.1"
Putheri,"? 9,775.0","? 3,025.0","? 16,333.3","? 8,000.0",,"? 9,900.0","? 5,385.7",,"? 3,060.0","? 2,387.5","? 5,650.0","? 4,250.0",,,"? 5,150.0","? 2,950.0","? 5,878.9"
Sethupattu,"? 11,600.0","? 4,600.0","? 13,166.7","? 9,666.7",,"? 11,266.7","? 4,409.1","? 7,700.0","? 3,725.0","? 2,200.0","? 5,450.0","? 4,625.0",,"? 5,000.0",,"? 2,866.7","? 6,415.0"
Sirukalathur,,"? 4,250.0","? 15,050.0","? 8,400.0","? 9,950.0","? 11,940.0","? 6,000.0","? 7,400.0","? 3,000.0","? 1,766.7","? 6,966.7","? 2,400.0","? 5,138.5",,"? 4,200.0","? 2,500.0","? 8,275.8"
Thammanur,,,,"? 8,220.0",,,"? 3,000.0",,"? 2,400.0","? 2,200.0","? 6,700.0",,"? 4,218.2",,"? 4,400.0",,"? 4,106.8"
Tharapakkam,,,"? 16,200.0","? 10,300.0",,,"? 3,500.0",,,,,,"? 5,233.3","? 5,200.0",,"? 4,500.0","? 7,196.0"
Thenialam,,,,,,,,,,,,,"? 3,700.0",,,,"? 3,700.0"
Thenneri,"? 13,500.0","? 2,300.0",,"? 12,000.0",,"? 13,800.0",,"? 6,460.0","? 4,600.0","? 1,000.0",,"? 3,500.0","? 6,000.0",,"? 3,400.0","? 3,000.0","? 6,055.1"
Thodur,,,"? 13,333.3","? 7,700.0","? 11,550.0","? 11,733.3",,"? 7,100.0","? 3,700.0","? 1,850.0",,,"? 3,650.0","? 6,500.0","? 7,300.0",,"? 7,989.3"
Vaipoor,"? 14,600.0",,"? 14,850.0","? 9,800.0",,"? 10,271.4","? 5,916.7","? 7,800.0","? 3,166.7","? 1,675.0","? 6,550.0","? 4,050.0","? 3,725.0","? 3,300.0",,"? 3,000.0","? 6,759.0"
Vellacheri,"? 7,000.0","? 3,966.7","? 16,000.0","? 9,500.0",,"? 11,800.0",,,"? 2,375.0","? 1,550.0","? 6,700.0",,"? 5,700.0","? 6,066.7","? 4,350.0","? 3,866.7","? 6,638.7"
Vilangadupakkam,"? 12,900.0","? 2,450.0","? 15,000.0",,,"? 12,600.0","? 7,000.0","? 5,400.0","? 3,200.0",,,,,"? 5,700.0",,,"? 7,772.2"
Grand Total,"? 9,051.1","? 3,408.7","? 15,057.0","? 9,355.6","? 9,896.8","? 11,403.4","? 5,409.3","? 6,253.8","? 3,390.9","? 1,954.3","? 6,314.8","? 4,165.9","? 4,350.0","? 4,752.0","? 4,926.9","? 3,564.9","? 6,754.3"
